id,site,date,hoff,hdef,htemp,aoff,adef,atemp,line,ou,hp,ap,prob,hs,as
401577718,False,20231117,98.15,109.0,73.55,101.8,109.15,73.45,2.5,157.5,82.0,80.4,0.5297,85,80
401581546,True,20231117,107.25,97.19999999999999,70.25,102.95,97.0,64.45,-2.5,126.5,67.5,64.8,0.6157,66,62
401582110,True,20231117,103.80000000000001,99.85,73.55000000000001,106.5,102.0,65.05,4.5,142.5,71.0,71.5,0.4975,68,78
401582120,True,20231117,98.6,99.0,69.9,99.25,105.85,69.4,-4.5,135.5,71.7,67.7,0.6373,77,64
401601459,False,20231117,103.19999999999999,104.85,71.0,102.5,105.65,73.35,-5.5,153.5,81.2,76.1,0.6621,64,70
401581545,True,20231117,107.85,97.15,65.05,108.95,98.25,71.8,-1.5,138.5,69.8,69.7,0.4826,88,81
401575392,True,20231117,98.75,109.3,71.05,92.44999999999999,112.1,72.95,-6.5,152.5,79.1,73.1,0.7096,85,81
401582113,True,20231117,101.15,105.0,70.6,104.6,100.45,73.85,4.5,151.5,73.5,78.6,0.3108,67,60
401582121,True,20231117,102.9,99.0,68.05,101.95,101.85,70.7,-1.5,134.5,71.2,68.7,0.5829,71,77
401581515,True,20231117,113.55,99.05,71.95,105.85,97.55000000000001,73.15,-6.5,156.5,79.7,75.6,0.6535,79,67
401606133,False,20231117,99.9,102.25,67.69999999999999,105.35,113.2,72.65,-4.5,146.5,79.5,72.5,0.7065,82,75
401581813,True,20231117,103.3,111.7,70.5,93.6,111.9,71.75,-9.5,149.5,79.7,73.1,0.7336,70,72
401581509,True,20231117,98.85,98.7,72.0,102.7,98.65,69.94999999999999,5.5,137.5,69.8,72.4,0.4056,62,61
401577562,True,20231117,99.05,105.9,69.4,96.55000000000001,103.4,70.55,-3.5,137.5,70.8,70.8,0.505,66,80
401581548,True,20231117,109.6,93.75,70.7,113.94999999999999,87.94999999999999,67.65,9.5,133.5,66.0,72.7,0.2844,66,76
401584362,True,20231117,99.75,105.55000000000001,70.30000000000001,97.69999999999999,106.55000000000001,73.8,5.5,146.5,76.4,74.4,0.568,67,77
401582157,True,20231117,105.0,96.1,68.75,100.94999999999999,104.95,68.35,-7.5,133.5,73.0,64.6,0.7734,64,66
401597978,False,20231117,105.45,106.4,70.1,99.05,110.45,67.5,-10.5,143.5,79.2,69.1,0.8182,89,51
401577684,False,20231117,92.55,106.05,68.55,99.75,106.7,72.55000000000001,4.5,142.5,72.7,73.5,0.4305,58,67
401582122,True,20231117,106.25,100.05000000000001,71.35,98.2,108.4,74.4,-16.5,154.5,82.9,72.2,0.8271,100,62
401576150,False,20231117,114.6,92.2,70.05,93.75,109.55000000000001,69.65,-34.5,141.5,88.2,59.1,0.9872,90,60
401604419,True,20231117,96.1,103.0,69.8,92.8,108.6,72.15,-8.5,138.5,74.4,68.6,0.6975,0,0
401581510,True,20231117,106.94999999999999,102.44999999999999,71.6,107.95,98.0,69.25,5.5,148.5,72.1,75.7,0.3811,68,50
401581158,True,20231117,109.2,94.6,69.5,110.3,95.05000000000001,73.75,-1.5,146.5,74.3,74.7,0.4736,73,70
401574577,False,20231117,110.75,92.55,68.30000000000001,105.45,96.25,72.30000000000001,-8.5,138.5,78.4,67.4,0.8295,74,54
401594151,False,20231117,102.05000000000001,101.85,64.69999999999999,100.05000000000001,108.2,71.1,-6.5,130.5,74.9,66.1,0.7697,80,71
401583778,False,20231117,102.85,107.95,72.19999999999999,98.1,103.5,72.1,-5.5,151.5,80.0,75.7,0.6459,75,68
401582112,True,20231117,107.5,102.45,74.15,99.30000000000001,108.75,71.8,-10.5,163.5,83.6,74.2,0.8085,89,80
401588944,False,20231117,114.25,93.75,70.65,91.95,109.55,71.4,-34.5,146.5,90.2,61.0,0.9871,101,67
401581837,False,20231117,108.4,100.30000000000001,75.25,102.4,101.85,68.35,-6.5,149.5,81.9,72.4,0.8099,76,73
